Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
237;2186;515;True;25;26;3.42;0.29;273.63;23.05;5.73;2.02;0;0.929;0.755;0;42
238;305;709;False;;;1.22;0.47;81.00;31.00;1.68;0;0;0.112;0;0;0
239;16;673;True;598;599;14.37;1.73;1149.52;138.38;16.95;0.85;0;1.223;0.594;0;92
240;317;699;False;;;0.87;4.10;58.00;273.00;4.97;0;0;0.331;0;0;0
241;28;609;True;366;369;20.20;1.30;1616.08;103.67;23.05;1.55;0;1.323;0.614;0;102
242;255;706;True;886;888;3.58;1.11;286.77;88.93;6.30;1.6;0;1.826;1.618;0;45
243;55;641;False;;;11.33;3.33;756.00;222.00;14.67;0;0;0.978;0;0;0
244;43;631;True;803;804;53.82;11.68;4305.21;934.54;66.42;0.92;0;3.265;0.717;0;7
245;2905;515;True;25;26;5.37;0.29;429.58;23.05;7.68;2.02;0;1.019;0.755;0;42
246;76;624;False;;;13.57;1.62;905.00;108.00;15.18;0;0;1.013;0;0;0
247;1025;563;True;201;203;2.27;0.10;181.80;7.93;3.50;1.13;0;0.766;0.599;0;88
